1,Danish
2,Hebrew
3,English
4,Aboriginal
5,Telugu
6,Spanish
7,Czech
8,Polish
9,Hindi
10,None
11,Tamil
12,Cantonese
13,Kannada
14,French
15,Russian
16,Italian
17,Hungarian
18,Icelandic
19,Norwegian
20,German
21,Indonesian
22,Urdu
23,Korean
24,Chinese
25,Dutch
26,Aramaic
27,Bosnian
28,Dzongkha
29,Greek
30,Thai
31,Kazakh
32,Portuguese
33,Persian
34,Vietnamese
35,Maya
36,Zulu
37,Dari
38,Mongolian
39,Swedish
40,Mandarin
41,Panjabi
42,Swahili
43,Slovenian
44,Arabic
45,Filipino
46,Japanese
47,Romanian
